ENTREZID,SYMBOL,GENETITLE,CHR_Mapping,BP_Mapping
644997,PIK3CD-AS1,PIK3CD antisense RNA 1,1,9653598
101929074,PIK3CD-AS2,PIK3CD antisense RNA 2,1,9682104
5293,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",1,9690423
22883,CLSTN1,calsyntenin 1,1,9776773
56998,CTNNBIP1,catenin beta interacting protein 1,1,9879267
84328,LZIC,leucine zipper and CTNNBIP1 domain containing,1,9933816
64802,NMNAT1,nicotinamide nucleotide adenylyltransferase 1,1,9963756
116362,RBP7,retinol binding protein 7,1,10006608
10277,UBE4B,ubiquitination factor E4B,1,10107110
23095,KIF1B,kinesin family member 1B,1,10277903
5226,PGD,phosphogluconate dehydrogenase,1,10409783
1325,CORT,cortistatin,1,10450861
1676,DFFA,DNA fragmentation factor subunit alpha,1,10466551
5195,PEX14,peroxisomal biogenesis factor 14,1,10552853
54897,CASZ1,castor zinc finger 1,1,10719291
148345,C1orf127,chromosome 1 open reading frame 127,1,10964255
23435,TARDBP,TAR DNA binding protein,1,11019057
10747,MASP2,mannan binding lectin serine peptidase 2,1,11041449
6723,SRM,spermidine synthase,1,11057313
5394,EXOSC10,exosome component 10,1,11083261
2475,MTOR,mechanistic target of rapamycin,1,11184541
10218,ANGPTL7,angiopoietin like 7,1,11192635
29914,UBIAD1,UbiA prenyltransferase domain containing 1,1,11283600
57540,DISP3,dispatched RND transporter family member 3,1,11508410
101929181,LOC101929181,uncharacterized LOC101929181,1,11611442
26232,FBXO2,F-box protein 2,1,11651596
93611,FBXO44,F-box protein 44,1,11658971
26270,FBXO6,F-box protein 6,1,11669222
10459,MAD2L2,MAD2 mitotic arrest deficient-like 2 (yeast),1,11680448
374946,DRAXIN,dorsal inhibitory axon guidance protein,1,11706001
57085,AGTRAP,angiotensin II receptor associated protein,1,11743428
284498,C1orf167,chromosome 1 open reading frame 167,1,11775889
4524,MTHFR,methylenetetrahydrofolate reductase,1,11795310
1185,CLCN6,chloride voltage-gated channel 6,1,11824620
4878,NPPA,natriuretic peptide A,1,11846746
4879,NPPB,natriuretic peptide B,1,11858199
90231,KIAA2013,KIAA2013,1,11923008
5351,PLOD1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",1,11955104
9927,MFN2,mitofusin 2,1,11996848
60672,MIIP,migration and invasion inhibitory protein,1,12025645
943,TNFRSF8,TNF receptor superfamily member 8,1,12103792
7133,TNFRSF1B,TNF receptor superfamily member 1B,1,12188111
55187,VPS13D,vacuolar protein sorting 13 homolog D,1,12371042
9249,DHRS3,dehydrogenase/reductase 3,1,12589106
93190,C1orf158,chromosome 1 open reading frame 158,1,12753677
390999,PRAMEF12,PRAME family member 12,1,12776376
440560,PRAMEF11,PRAME family member 11,1,12828085
343071,PRAMEF10,PRAME family member 10,1,12895583
126755,LRRC38,leucine rich repeat containing 38,1,13494362
10630,PDPN,podoplanin,1,13601285
7799,PRDM2,PR/SET domain 2,1,13760705
23254,KAZN,"kazrin, periplakin interacting protein",1,14938795
200197,TMEM51-AS1,TMEM51 antisense RNA 1,1,15132139
55092,TMEM51,transmembrane protein 51,1,15186902
114827,FHAD1,forkhead associated phosphopeptide binding domain 1,1,15322699
79180,EFHD2,EF-hand domain family member D2,1,15420119
11330,CTRC,chymotrypsin C,1,15442550
51032,CELA2B,chymotrypsin like elastase family member 2B,1,15483750
842,CASP9,caspase 9,1,15508009
23341,DNAJC16,DnaJ heat shock protein family (Hsp40) member C16,1,15549273
79814,AGMAT,agmatinase,1,15578404
23207,PLEKHM2,pleckstrin homology and RUN domain containing M2,1,15709550
284723,SLC25A34,solute carrier family 25 member 34,1,15738853
54751,FBLIM1,filamin binding LIM protein 1,1,15772770
729614,FLJ37453,uncharacterized LOC729614,1,15841181
23013,SPEN,spen family transcriptional repressor,1,15894159
7709,ZBTB17,zinc finger and BTB domain containing 17,1,15959000
149563,C1orf64,chromosome 1 open reading frame 64,1,16005465
27129,HSPB7,heat shock protein family B (small) member 7,1,16016409
1188,CLCNKB,chloride voltage-gated channel Kb,1,16051787
348487,FAM131C,family with sequence similarity 131 member C,1,16065700
1969,EPHA2,EPH receptor A2,1,16140223
128272,ARHGEF19,Rho guanine nucleotide exchange factor 19,1,16205262
79363,RSG1,REM2 and RAB like small GTPase 1,1,16234425
54455,FBXO42,F-box protein 42,1,16299665
26099,SZRD1,SUZ RNA binding domain containing 1,1,16382589
374955,SPATA21,spermatogenesis associated 21,1,16418033
55707,NECAP2,NECAP endocytosis associated 2,1,16450380
114819,CROCCP3,"ciliary rootlet coiled-coil, rootletin pseudogene 3",1,16480068
55672,NBPF1,neuroblastoma breakpoint family member 1,1,16588016
84809,CROCCP2,"ciliary rootlet coiled-coil, rootletin pseudogene 2",1,16624581
11223,MST1L,macrophage stimulating 1 like,1,16759557
9696,CROCC,"ciliary rootlet coiled-coil, rootletin",1,16947464
4237,MFAP2,microfibrillar associated protein 2,1,16977818
23400,ATP13A2,ATPase 13A2,1,16998965
6390,SDHB,succinate dehydrogenase complex iron sulfur subunit B,1,17036448
11240,PADI2,peptidyl arginine deiminase 2,1,17093107
29943,PADI1,peptidyl arginine deiminase 1,1,17225566
51702,PADI3,peptidyl arginine deiminase 3,1,17266665
23569,PADI4,peptidyl arginine deiminase 4,1,17336097
55920,RCC2,regulator of chromosome condensation 2,1,17422956
55160,ARHGEF10L,Rho guanine nucleotide exchange factor 10 like,1,17638621
81569,ACTL8,actin like 8,1,17791188
101927876,LOC101927876,uncharacterized LOC101927876,1,18070034
84966,IGSF21,immunoglobin superfamily member 21,1,18243114
127707,KLHDC7A,kelch domain containing 7A,1,18483458
5081,PAX7,paired box 7,1,18686754
80834,TAS1R2,taste 1 receptor member 2,1,18849630
8659,ALDH4A1,aldehyde dehydrogenase 4 family member A1,1,18884137
126917,IFFO2,intermediate filament family orphan 2,1,18930306
23352,UBR4,ubiquitin protein ligase E3 component n-recognin 4,1,19142379
23065,EMC1,ER membrane protein complex subunit 1,1,19233611
51154,MRTO4,"MRT4 homolog, ribosome maturation factor",1,19255854
22977,AKR7A3,aldo-keto reductase family 7 member A3,1,19285674
100506730,LOC100506730,uncharacterized LOC100506730,1,19294491
8574,AKR7A2,aldo-keto reductase family 7 member A2,1,19307427
54896,PQLC2,PQ loop repeat containing 2,1,19321555
832,CAPZB,capping actin protein of muscle Z-line beta subunit,1,19417951
440574,MINOS1,mitochondrial inner membrane organizing system 1,1,19613399
4681,NBL1,"neuroblastoma 1, DAN family BMP antagonist",1,19651604
3362,HTR6,5-hydroxytryptamine receptor 6,1,19673126
255104,TMCO4,transmembrane and coiled-coil domains 4,1,19741065
54546,RNF186,ring finger protein 186,1,19814653
23252,OTUD3,OTU deubiquitinase 3,1,19897669
30814,PLA2G2E,phospholipase A2 group IIE,1,19921962
5320,PLA2G2A,phospholipase A2 group IIA,1,19977740
5322,PLA2G5,phospholipase A2 group V,1,20081054
26279,PLA2G2D,phospholipase A2 group IID,1,20116108
64600,PLA2G2F,phospholipase A2 group IIF,1,20144858
101928017,UBXN10-AS1,UBXN10 antisense RNA 1,1,20185364
127733,UBXN10,UBX domain protein 10,1,20191063
127731,VWA5B1,von Willebrand factor A domain containing 5B1,1,20322906
339505,LINC01141,long intergenic non-protein coding RNA 1141,1,20394297
55450,CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1,1,20484313
79594,MUL1,mitochondrial E3 ubiquitin protein ligase 1,1,20503814
163933,FAM43B,family with sequence similarity 43 member B,1,20553729
978,CDA,cytidine deaminase,1,20603929
65018,PINK1,PTEN induced putative kinase 1,1,20642483
100861548,PINK1-AS,PINK1 antisense RNA,1,20647425
1650,DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit,1,20656655
57576,KIF17,kinesin family member 17,1,20691015
400745,SH2D5,SH2 domain containing 5,1,20726186
50809,HP1BP3,heterochromatin protein 1 binding protein 3,1,20764683
8672,EIF4G3,eukaryotic translation initiation factor 4 gamma 3,1,21001689
1889,ECE1,endothelin converting enzyme 1,1,21259372
84224,NBPF3,neuroblastoma breakpoint family member 3,1,21462495
249,ALPL,"alkaline phosphatase, liver/bone/kidney",1,21543885
5909,RAP1GAP,RAP1 GTPase activating protein,1,21628412
84196,USP48,ubiquitin specific peptidase 48,1,21743206
3339,HSPG2,heparan sulfate proteoglycan 2,1,21879764
23436,CELA3B,chymotrypsin like elastase family member 3B,1,21983124
10136,CELA3A,chymotrypsin like elastase family member 3A,1,22007099
101928043,LOC101928043,uncharacterized LOC101928043,1,22025021
29092,LINC00339,long intergenic non-protein coding RNA 339,1,22028285
998,CDC42,cell division cycle 42,1,22072250
54361,WNT4,Wnt family member 4,1,22130165
9923,ZBTB40,zinc finger and BTB domain containing 40,1,22491504
2046,EPHA8,EPH receptor A8,1,22580054
712,C1QA,complement C1q A chain,1,22638153
714,C1QC,complement C1q C chain,1,22645867
713,C1QB,complement C1q B chain,1,22657362
2048,EPHB2,EPH receptor B2,1,22816169
729059,C1orf234,chromosome 1 open reading frame 234,1,23013342
23028,KDM1A,lysine demethylase 1A,1,23051569
7798,LUZP1,leucine zipper protein 1,1,23126440
3352,HTR1D,5-hydroxytryptamine receptor 1D,1,23193312
100996511,LINC01355,long intergenic non-protein coding RNA 1355,1,23283413
10236,HNRNPR,heterogeneous nuclear ribonucleoprotein R,1,23324527
80818,ZNF436,zinc finger protein 436,1,23364286
148898,ZNF436-AS1,ZNF436 antisense RNA 1,1,23370465
6920,TCEA3,transcription elongation factor A3,1,23402844
55616,ASAP3,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3",1,23456410
1870,E2F2,E2F transcription factor 2,1,23518824
3399,ID3,"inhibitor of DNA binding 3, HLH protein",1,23558862
259283,MDS2,myelodysplastic syndrome 2 translocation associated,1,23633950
6135,RPL11,ribosomal protein L11,1,23694102
6924,TCEB3,transcription elongation factor B subunit 3,1,23752712
100506963,TCEB3-AS1,TCEB3 antisense RNA 1,1,23769339
57095,PITHD1,PITH domain containing 1,1,23783309
11313,LYPLA2,lysophospholipase II,1,23793347
2582,GALE,UDP-galactose-4-epimerase,1,23797952
3155,HMGCL,3-hydroxymethyl-3-methylglutaryl-CoA lyase,1,23813668
2517,FUCA1,"fucosidase, alpha-L- 1, tissue",1,23856725
1269,CNR2,cannabinoid receptor 2,1,23893648
55629,PNRC2,proline rich nuclear receptor coactivator 2,1,23961635
10772,SRSF10,serine and arginine rich splicing factor 10,1,23972405
127294,MYOM3,myomesin 3,1,24084108
58985,IL22RA1,interleukin 22 receptor subunit alpha 1,1,24131528
163702,IFNLR1,interferon lambda receptor 1,1,24170716
284632,LOC284632,uncharacterized LOC284632,1,24205965
57822,GRHL3,grainyhead like transcription factor 3,1,24338960
90529,STPG1,sperm tail PG-rich repeat containing 1,1,24385716
57185,NIPAL3,NIPA like domain containing 3,1,24442134
11123,RCAN3,RCAN family member 3,1,24521904
10250,SRRM1,serine and arginine repetitive matrix 1,1,24658306
25932,CLIC4,chloride intracellular channel 4,1,24794796
864,RUNX3,runt related transcription factor 3,1,24923577
25949,SYF2,SYF2 pre-mRNA splicing factor,1,25227399
6007,RHD,Rh blood group D antigen,1,25301465
23585,TMEM50A,transmembrane protein 50A,1,25350329
55219,TMEM57,transmembrane protein 57,1,25465532
26119,LDLRAP1,low density lipoprotein receptor adaptor protein 1,1,25556235
57134,MAN1C1,mannosidase alpha class 1C member 1,1,25701837
57190,SELENON,selenoprotein N,1,25809199
56181,MTFR1L,mitochondrial fission regulator 1 like,1,25826625
79000,AUNIP,aurora kinase A and ninein interacting protein,1,25846208
164091,PAQR7,progestin and adipoQ receptor family member 7,1,25866368
3925,STMN1,stathmin 1,1,25901321
5051,PAFAH2,platelet activating factor acetylhydrolase 2,1,25978962
2134,EXTL1,exostosin like glycosyltransferase 1,1,26029121
7780,SLC30A2,solute carrier family 30 member 2,1,26042080
84676,TRIM63,tripartite motif containing 63,1,26059469
149420,PDIK1L,PDLIM1 interacting kinase 1 like,1,26118509
79927,FAM110D,family with sequence similarity 110 member D,1,26160824
51042,ZNF593,zinc finger protein 593,1,26170385
10256,CNKSR1,connector enhancer of kinase suppressor of Ras 1,1,26183687
101928303,LOC101928303,uncharacterized LOC101928303,1,26227580
64793,CEP85,centrosomal protein 85,1,26265264
83442,SH3BGRL3,SH3 domain binding glutamate rich protein like 3,1,26280622
91544,UBXN11,UBX domain protein 11,1,26297383
1043,CD52,CD52 molecule,1,26319221
55057,AIM1L,absent in melanoma 1-like,1,26337994
257101,ZNF683,zinc finger protein 683,1,26367214
79727,LIN28A,lin-28 homolog A,1,26420248
79947,DHDDS,dehydrodolichyl diphosphate synthase subunit,1,26451793
101928324,LOC101928324,uncharacterized LOC101928324,1,26465147
3151,HMGN2,high mobility group nucleosomal binding domain 2,1,26474526
6195,RPS6KA1,ribosomal protein S6 kinase A1,1,26557301
101928728,LOC101928728,uncharacterized LOC101928728,1,26693020
8289,ARID1A,AT-rich interaction domain 1A,1,26739070
55650,PIGV,phosphatidylinositol glycan anchor biosynthesis class V,1,26793239
84243,ZDHHC18,zinc finger DHHC-type containing 18,1,26841215
2810,SFN,stratifin,1,26863799
54707,GPN2,GPN-loop GTPase 2,1,26884880
63906,GPATCH3,G-patch domain containing 3,1,26895479
8431,NR0B2,nuclear receptor subfamily 0 group B member 2,1,26912780
10726,NUDC,"nuclear distribution C, dynein complex regulator",1,26934296
126695,KDF1,keratinocyte differentiation factor 1,1,26954983
388610,TRNP1,TMF1-regulated nuclear protein 1,1,26997295
115572,FAM46B,family with sequence similarity 46 member B,1,27008931
6548,SLC9A1,solute carrier family 9 member A1,1,27126969
23038,WDTC1,WD and tetratricopeptide repeats 1,1,27271574
84065,TMEM222,transmembrane protein 222,1,27329272
84958,SYTL1,synaptotagmin like 1,1,27347962
9064,MAP3K6,mitogen-activated protein kinase kinase kinase 6,1,27361022
8547,FCN3,ficolin 3,1,27371981
2827,GPR3,G protein-coupled receptor 3,1,27394228
10163,WASF2,WAS protein family member 2,1,27447206
27245,AHDC1,AT-hook DNA binding motif containing 1,1,27568869
2268,FGR,"FGR proto-oncogene, Src family tyrosine kinase",1,27620820
2537,IFI6,interferon alpha inducible protein 6,1,27669137
199870,FAM76A,family with sequence similarity 76 member A,1,27744445
23673,STX12,syntaxin 12,1,27798817
5511,PPP1R8,protein phosphatase 1 regulatory subunit 8,1,27841224
9473,THEMIS2,thymocyte selection associated family member 2,1,27879614
6118,RPA2,replication protein A2,1,27903161
27293,SMPDL3B,sphingomyelin phosphodiesterase acid like 3B,1,27946386
55113,XKR8,XK related 8,1,27963779
2140,EYA3,EYA transcriptional coactivator and phosphatase 3,1,28033666
5724,PTAFR,platelet activating factor receptor,1,28166303
22826,DNAJC8,DnaJ heat shock protein family (Hsp40) member C8,1,28216655
93974,ATPIF1,ATPase inhibitory factor 1,1,28237098
83667,SESN2,sestrin 2,1,28270971
54797,MED18,mediator complex subunit 18,1,28332484
65979,PHACTR4,phosphatase and actin regulator 4,1,28452117
1104,RCC1,regulator of chromosome condensation 1,1,28525642
54952,TRNAU1AP,tRNA selenocysteine 1 associated protein 1,1,28565781
115273,RAB42,"RAB42, member RAS oncogene family",1,28593461
6883,TAF12,TATA-box binding protein associated factor 12,1,28623094
10691,GMEB1,glucocorticoid modulatory element binding protein 1,1,28692165
51441,YTHDF2,YTH N6-methyladenosine RNA binding protein 2,1,28753251
4985,OPRD1,opioid receptor delta 1,1,28837919
2035,EPB41,erythrocyte membrane protein band 4.1,1,28996733
6429,SRSF4,serine and arginine rich splicing factor 4,1,29164931
51102,MECR,mitochondrial trans-2-enoyl-CoA reductase,1,29211807
10076,PTPRU,"protein tyrosine phosphatase, receptor type U",1,29281664
101928460,LOC101928460,uncharacterized LOC101928460,1,29339867
101929406,LOC101929406,uncharacterized LOC101929406,1,30025782
4146,MATN1,"matrilin 1, cartilage matrix protein",1,30717431
100129196,MATN1-AS1,MATN1 antisense RNA 1,1,30722759
7805,LAPTM5,lysosomal protein transmembrane 5,1,30745152
9672,SDC3,syndecan 3,1,30889049
9698,PUM1,pumilio RNA binding family member 1,1,30998611
79570,NKAIN1,Na+/K+ transporting ATPase interacting 1,1,31209816
9410,SNRNP40,small nuclear ribonucleoprotein U5 subunit 40,1,31278182
51538,ZCCHC17,zinc finger CCHC-type containing 17,1,31330967
2170,FABP3,fatty acid binding protein 3,1,31369270
347735,SERINC2,serine incorporator 2,1,31423173
149086,LINC01225,long intergenic non-protein coding RNA 1225,1,31504325
284551,LINC01226,long intergenic non-protein coding RNA 1226,1,31521340
64129,TINAGL1,tubulointerstitial nephritis antigen like 1,1,31582500
3061,HCRTR1,hypocretin receptor 1,1,31622509
553115,PEF1,penta-EF-hand domain containing 1,1,31637394
1307,COL16A1,collagen type XVI alpha 1 chain,1,31678207
576,ADGRB2,adhesion G protein-coupled receptor B2,1,31745584
90853,SPOCD1,SPOC domain containing 1,1,31803236
8073,PTP4A2,"protein tyrosine phosphatase type IVA, member 2",1,31917721
10657,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1",1,32033032
55116,TMEM39B,transmembrane protein 39B,1,32087665
23633,KPNA6,karyopherin subunit alpha 6,1,32142305
200081,TXLNA,taxilin alpha,1,32189014
79140,CCDC28B,coiled-coil domain containing 28B,1,32202888
55721,IQCC,IQ motif containing C,1,32207161
149069,DCDC2B,doublecortin domain containing 2B,1,32212645
56063,TMEM234,transmembrane protein 234,1,32218854
8668,EIF3I,eukaryotic translation initiation factor 3 subunit I,1,32226594
339483,MTMR9LP,"myotubularin related protein 9-like, pseudogene",1,32236685
84734,FAM167B,family with sequence similarity 167 member B,1,32248038
3932,LCK,"LCK proto-oncogene, Src family tyrosine kinase",1,32274421
3065,HDAC1,histone deacetylase 1,1,32312865
65108,MARCKSL1,MARCKS like 1,1,32335034
100128071,FAM229A,family with sequence similarity 229 member A,1,32361756
81629,TSSK3,testis specific serine kinase 3,1,32363292
55108,BSDC1,BSD domain containing 1,1,32379547
728116,ZBTB8B,zinc finger and BTB domain containing 8B,1,32476457
653121,ZBTB8A,zinc finger and BTB domain containing 8A,1,32572547
339487,ZBTB8OS,zinc finger and BTB domain containing 8 opposite strand,1,32635804
5928,RBBP4,"RB binding protein 4, chromatin remodeling factor",1,32668732
81493,SYNC,"syncoilin, intermediate filament protein",1,32691333
57648,KIAA1522,KIAA1522,1,32764371
8565,YARS,tyrosyl-tRNA synthetase,1,32796635
64766,S100PBP,S100P binding protein,1,32839485
252995,FNDC5,fibronectin type III domain containing 5,1,32866960
3208,HPCA,hippocalcin,1,32890571
113452,TMEM54,transmembrane protein 54,1,32898016
127544,RNF19B,ring finger protein 19B,1,32950629
204,AK2,adenylate kinase 2,1,33023823
113451,AZIN2,antizyme inhibitor 2,1,33098760
55223,TRIM62,tripartite motif containing 62,1,33162356
149076,ZNF362,zinc finger protein 362,1,33278646
1912,PHC2,polyhomeotic homolog 2,1,33343184
101929464,LOC101929464,uncharacterized LOC101929464,1,33356798
7579,ZSCAN20,zinc finger and SCAN domain containing 20,1,33484513
114784,CSMD2,CUB and Sushi multiple domains 2,1,33839778
127540,HMGB4,high mobility group box 4,1,33863534
402779,CSMD2-AS1,CSMD2 antisense RNA 1,1,33877207
84970,C1orf94,chromosome 1 open reading frame 94,1,34195523
2709,GJB5,gap junction protein beta 5,1,34756779
127534,GJB4,gap junction protein beta 4,1,34761732
2707,GJB3,gap junction protein beta 3,1,34784057
2701,GJA4,gap junction protein alpha 4,1,34794372
113444,SMIM12,small integral membrane protein 12,1,34854947
58512,DLGAP3,DLG associated protein 3,1,34897510
9204,ZMYM6,zinc finger MYM-type containing 6,1,35009067
79830,ZMYM1,zinc finger MYM-type containing 1,1,35092716
6421,SFPQ,splicing factor proline and glutamine rich,1,35186566
9202,ZMYM4,zinc finger MYM-type containing 4,1,35345455
79932,KIAA0319L,KIAA0319 like,1,35495463
23154,NCDN,neurochondrin,1,35562285
339488,TFAP2E,transcription factor AP-2 epsilon,1,35584348
5690,PSMB2,proteasome subunit beta 2,1,35618925
127703,C1orf216,chromosome 1 open reading frame 216,1,35716532
63967,CLSPN,claspin,1,35748057
192670,AGO4,"argonaute 4, RISC catalytic component",1,35833058
26523,AGO1,"argonaute 1, RISC catalytic component",1,35900399
192669,AGO3,"argonaute 3, RISC catalytic component",1,35993772
27285,TEKT2,tektin 2,1,36086175
54936,ADPRHL2,ADP-ribosylhydrolase like 2,1,36091392
1296,COL8A2,collagen type VIII alpha 2 chain,1,36110160
